date,camera,insect.code,insect.name,insect.name.og
170723,CAM4,168,carabidae,pterostichus strenuus
170723,HF2F,171,isopoda,armadillidium
170723,CAM9,165,araneae,neottiura bimaculata
180723,CAM4,172,carabidae,bembidion properans
180723,HF2G,170,staphylinidae,xantholinus
180723,CAM8,173,staphylinidae,ocypus olens
190723,CAM4,171,isopoda,armadillidium
190723,HF2G,175,carabidae,stomis punicatus
190723,CAM8,176,carabidae,brachinus crepitans
190723,CAM9,177,coleoptera (larvae),carabidae (larvae)
250723,HF2G,173,staphylinidae,ocypus olens
250723,CAM9,178,coleoptera (larvae),carabidae (larvae)
260723,HF2G,176,carabidae,brachinus crepitans
260723,CAM8,175,carabidae,stomis punicatus
260723,LF2E,178,coleoptera (larvae),carabidae (larvae)
270723,LF2E,177,coleoptera (larvae),carabidae (larvae)
010823,CAM4,180,isopoda,armadillidium
010823,HF2F,182,carabidae,trechus quadristriatus
010823,HF2G,183,opiliones,phalangiidae
010823,CAM8,185,dermaptera,forficula auricularia
010823,LF2E,188,carabidae,trechus quadristriatus
020823,CAM4,179,coleoptera (larvae),loricera pilicornis (larvae)
020823,HF2F,181,staphylinidae,aleocharinae
020823,CAM8,184,staphylinidae,ocypus olens
020823,CAM9,188,carabidae,trechus quadristriatus
030823,CAM4,182,carabidae,trechus quadristriatus
030823,HF2F,180,isopoda,armadillidium
030823,CAM8,183,opiliones,phalangiidae
030823,CAM9,187,carabidae,trechus quadristriatus
040823,CAM4,181,staphylinidae,aleocharinae
040823,HF2F,179,coleoptera (larvae),loricera pilicornis (larvae)
040823,HF2G,184,staphylinidae,ocypus olens
040823,LF2E,187,carabidae,trechus quadristriatus
070823,HF2G,190,staphylinidae,ocypus olens
070823,CAM8,192,staphylinidae,tachinus
070823,LF2E,195,araneae,linyphiidae
080823,CAM4,189,carabidae,brachinus crepitans
080823,HF2G,193,araneae,linyphiidae
080823,CAM8,191,staphylinidae,tachinus
090823,HF2G,192,staphylinidae,tachinus
100823,HF2G,191,staphylinidae,tachinus
100823,CAM9,195,araneae,linyphiidae
140823,CAM4,197,carabidae,carabidae
140823,HF2F,199,coleoptera (larvae),carabidae (larvae)
140823,HF2G,200,staphylinidae,ocypus olens
140823,CAM8,202,staphylinidae,aleocharinae
140823,CAM9,204,coleoptera (larvae),carabidae (larvae)
150823,CAM4,196,coleoptera (larvae),carabidae (larvae)
150823,HF2G,203,araneae,neottiura bimaculata
150823,CAM8,201,staphylinidae,aleochara
160823,CAM4,199,coleoptera (larvae),carabidae (larvae)
160823,HF2G,202,staphylinidae,aleocharinae
160823,CAM8,200,staphylinidae,ocypus olens
170823,HF2G,201,staphylinidae,aleochara
170823,CAM8,203,araneae,neottiura bimaculata
210823,HF2G,206,staphylinidae,aleocharinae
210823,CAM8,208,carabidae,harpalus affinis
230823,CAM8,206,staphylinidae,aleocharinae
240823,CAM8,208,carabidae,harpalus affinis
